Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,0033726","8,74E-19","-9,1444E-19",0,0,0,"0,019875","3,2883E-06","-2,6326E-22","8,5251E-23","5,7903E-06","-1,683E-23","8,7474E-06",0,0,0,0,0,0,package://tricycle/meshes/base_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://tricycle/meshes/base_link.STL,,Chassis-1,Parent,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
front_wheel_link,"-0,005","1,5073E-17","-6,9389E-18",0,0,0,"0,0012229","1,4325E-08","6,4934E-25","4,9199E-24","1,7354E-08","5,8937E-24","1,7354E-08",0,0,0,0,0,0,package://tricycle/meshes/front_wheel_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://tricycle/meshes/front_wheel_link.STL,,Wheel-1,FrontWheel,FrontAxis <Chassis-1>,front_wheel_joint,continuous,"0,02","-0,005",0,"1,5708",0,"-1,5708",base_link,-1,0,0,,,,,,,,,,,,0
rear_right_wheel_link,"-0,005","1,4199E-17",0,0,0,0,"0,0012229","1,4325E-08","-6,575E-25","-1,7066E-24","1,7354E-08","1,675E-23","1,7354E-08",0,0,0,0,0,0,package://tricycle/meshes/rear_right_wheel_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://tricycle/meshes/rear_right_wheel_link.STL,,Wheel-2,RearRightWheel,RearAxis <Chassis-1>,rear_right_wheel_joint,continuous,"-0,02","-0,03",0,"1,5708",0,"-1,5708",base_link,-1,0,0,,,,,,,,,,,,0
rear_left_wheel_link,"-0,005","3,0191E-18","-1,3878E-17",0,0,0,"0,0012229","1,4325E-08","-2,2512E-24","-1,8331E-25","1,7354E-08","-4,1101E-23","1,7354E-08",0,0,0,0,0,0,package://tricycle/meshes/rear_left_wheel_link.STL,"0,79216","0,81961","0,93333",1,0,0,0,0,0,0,package://tricycle/meshes/rear_left_wheel_link.STL,,Wheel-3,RearLeftWheel,RearAxis <Chassis-1>,rear_left_wheel_joint,continuous,"-0,02","0,03",0,"1,5708",0,"1,5708",base_link,1,0,0,,,,,,,,,,,,0
